DUV;Porto - Bitrigrama;Porto - Nome;Embarcacao - IMO;Embarcacao - Inscricao;Embarcacao - Nome;Tripulantes - Embarque;Tripulantes - Transito;Tripulantes - Desembarque;Tripulantes - Total;Passageiros - Embarque;Passageiros - Transito;Passageiros - Desembarque;Passageiros - Total;Estadia - Motivos Atracacao;Estadia - Chegada no Porto;Estadia - Atracacao;Estadia - Desatracacao;Estadia - Saida do Porto;Porto Origem - Bitrigrama;Porto Origem - Nome;Porto Destino - Bitrigrama;Porto Destino - Nome
"322023";"BRARE";"AREIA BRANCA (TERMISA)";9054418;"0210252421";"ANTÔNIO FLORÊNCIO";0;0;1;1;0;0;0;0;"Descarga";2023-01-01 17:05:00.0000000;2023-01-01 17:05:00.0000000;2023-01-01 20:15:00.0000000;2023-01-01 20:15:00.0000000;"BRARE";"AREIA BRANCA (TERMISA)";"BRARE";"AREIA BRANCA (TERMISA)"
"332023";"BR400001";"TERMINAL DE MINERIO FERROPORT - PORTO DO AÇU";9762998;"9762998";"ECO SEAS";1;25;1;27;0;0;0;0;"Carga";2023-01-06 17:24:00.0000000;2023-01-06 17:24:00.0000000;2023-01-11 14:42:00.0000000;2023-01-11 14:42:00.0000000;"SGSIN";"SINGAPURA (SINGAPORE)";"CNQIN ";"QINGDAO"
"342023";"BRNVT001";"TERMINAL PORTONAVE - NAVEGANTES - SC";9793911;"";"SEASPAN RAPTOR";0;25;0;25;0;0;0;0;"Carga e Descarga";2023-01-04 17:18:00.0000000;2023-01-04 17:18:00.0000000;2023-01-05 07:12:00.0000000;2023-01-05 07:12:00.0000000;"BRPNG";"PARANAGUA";"BRSSZ";"SANTOS"
"352023";"BRRS013";"CMPC - GUAIBA - RS";;"4620170861";"TREVO LESTE";0;7;0;7;0;0;0;0;"Carga e Descarga";2023-01-03 22:00:00.0000000;2023-01-03 22:00:00.0000000;2023-01-05 23:00:00.0000000;2023-01-05 23:00:00.0000000;"BRRIG";"RIO GRANDE";"BRRIG";"RIO GRANDE"
"362023";"BRMCZ";"MACEIÓ";9843792;"";"MSC SEASHORE";1;1603;2;1606;264;4982;306;5552;"Desembarque/Embarque de Passageiros";2023-01-03 08:53:00.0000000;2023-01-03 08:53:00.0000000;2023-01-03 16:26:00.0000000;2023-01-03 16:26:00.0000000;"BRRIO";"RIO DE JANEIRO";"BRSSA";"SALVADOR"
"382023";"BRRJ022";"PORTO DO AÇU";9659622;"3813905438";"BARU TAURUS";0;10;0;10;0;0;0;0;"Off-shore";2023-01-03 22:30:00.0000000;2023-01-03 22:30:00.0000000;2023-01-04 10:00:00.0000000;2023-01-04 10:00:00.0000000;"BRMEA001";"TERMINAL PETROBRÁS - MACAÉ - RJ";"BRMEA001";"TERMINAL PETROBRÁS - MACAÉ - RJ"
"402023";"BRRJ022";"PORTO DO AÇU";9618769;"3813887294";"MAR LIMPO III";0;16;0;16;0;0;0;0;"Off-shore";2023-01-02 19:00:00.0000000;2023-01-02 19:00:00.0000000;2023-01-06 08:00:00.0000000;2023-01-06 08:00:00.0000000;"BRRIO";"RIO DE JANEIRO";"BRRJ022";"PORTO DO AÇU"
"412023";"BR147001";"TERMINAL PORTUÁRIO FLUVIAL - COPESUL - SANTA CLARA - RS";;"4620144045";"TREVO I";0;3;0;3;0;0;0;0;"Descarga";2023-01-02 07:00:00.0000000;2023-01-02 07:00:00.0000000;2023-01-05 10:44:00.0000000;2023-01-05 10:44:00.0000000;"BRPOA";"PORTO ALEGRE - RS";"BR147001";"TERMINAL PORTUÁRIO FLUVIAL - COPESUL - SANTA CLARA - RS"
"422023";"BR147001";"TERMINAL PORTUÁRIO FLUVIAL - COPESUL - SANTA CLARA - RS";;"4620165336";"ALIANÇA III (EX U-6)";0;1;0;1;0;1;0;1;"Descarga";2023-01-02 07:00:00.0000000;2023-01-02 07:00:00.0000000;2023-01-05 10:47:00.0000000;2023-01-05 10:47:00.0000000;"BRTFO";"TRIUNFO";"BR147001";"TERMINAL PORTUÁRIO FLUVIAL - COPESUL - SANTA CLARA - RS"
"432023";"BRPET";"PELOTAS";;"4620796174";"GERMANO BECKER";0;7;0;7;0;0;0;0;"Carga";2023-01-06 09:28:00.0000000;2023-01-06 09:28:00.0000000;2023-01-07 01:43:00.0000000;2023-01-07 01:43:00.0000000;"BRRS013";"TERMINAL CMPC GUAÍBA - RS";"BRRS013";"TERMINAL CMPC GUAÍBA - RS"
"442023";"BRRJ022";"PORTO DO AÇU";9644134;"3813891585";"PRION";0;16;0;16;0;0;0;0;"Off-shore";2023-01-02 10:00:00.0000000;2023-01-02 10:00:00.0000000;2023-01-03 11:00:00.0000000;2023-01-03 11:00:00.0000000;"BRRJ022";"PORTO DO AÇU";"BRRIO";"RIO DE JANEIRO"
"452023";"BRSSZ";"SANTOS";9720201;"";"MSC DOMITILLE";1;28;1;30;0;0;0;0;"Carga e Descarga";2023-01-09 17:35:00.0000000;2023-01-09 17:35:00.0000000;2023-01-10 11:50:00.0000000;2023-01-10 11:50:00.0000000;"BRRIO";"RIO DE JANEIRO";"BRNVT001";"PORTONAVE - NAVEGANTES - SC"
"462023";"BRSSZ";"SANTOS";9702091;"";"MSC SOFIA CELESTE";5;23;4;32;0;0;0;0;"Carga e Descarga";2023-01-12 00:00:00.0000000;2023-01-12 01:43:00.0000000;2023-01-12 18:50:00.0000000;2023-01-12 18:50:00.0000000;"BRPNG";"PARANAGUA";"BRRIO";"RIO DE JANEIRO"
"472023";"BRSSZ";"SANTOS";9247742;"";"MSC BOSPHORUS";0;28;0;28;0;0;0;0;"Carga e Descarga";2023-01-08 23:05:00.0000000;2023-01-08 23:05:00.0000000;2023-01-09 13:15:00.0000000;2023-01-09 13:15:00.0000000;"ARBUE";"BUENOS AIRES";"BRRIO";"RIO DE JANEIRO"
"482023";"BRSSZ";"SANTOS";9247766;"";"ATHENS GLORY";1;28;1;30;0;0;0;0;"Carga e Descarga";2023-01-15 00:50:00.0000000;2023-01-15 00:50:00.0000000;2023-01-15 19:48:00.0000000;2023-01-15 19:48:00.0000000;"COCTG";"CARTAGENA";"BRIOA001";"TERMINAL DE ITAPOA - SC "
"492023";"BRSSZ";"SANTOS";9702261;"";"MSC SARA ELENA";2;26;2;30;0;0;0;0;"Carga e Descarga";2023-01-16 01:38:00.0000000;2023-01-16 01:38:00.0000000;2023-01-17 13:20:00.0000000;2023-01-17 13:20:00.0000000;"BRNVT001";"PORTONAVE - NAVEGANTES - SC";"SGSIN";"SINGAPURA (SINGAPORE)"
"502023";"BRSSZ";"SANTOS";9710438;"";"MSC CHANNE";0;29;0;29;0;0;0;0;"Carga e Descarga";2023-01-18 01:06:00.0000000;2023-01-18 09:50:00.0000000;2023-01-19 16:40:00.0000000;2023-01-19 16:40:00.0000000;"SGSIN";"SINGAPURA (SINGAPORE)";"BRPNG";"PARANAGUA"
"512023";"BRRIO";"RIO DE JANEIRO";9720201;"";"MSC DOMITILLE";0;29;0;29;0;0;0;0;"Carga e Descarga";2023-01-07 23:10:00.0000000;2023-01-07 23:10:00.0000000;2023-01-08 00:00:00.0000000;2023-01-08 00:00:00.0000000;"FRLEH";"LE HAVRE";"BRSSZ";"SANTOS"
"522023";"BRPEC";"PECEM";9720512;"";"MSC MICHELA";0;27;0;27;0;0;0;0;"Carga e Descarga";2023-01-06 19:32:00.0000000;2023-01-06 19:32:00.0000000;2023-01-07 03:57:00.0000000;2023-01-07 03:57:00.0000000;"BRSSA";"SALVADOR";"MAPTM";"TANGER MED"
"532023";"BRREC";"RECIFE";9737565;"";" BOCHEM LUXEMBOURG";3;19;3;25;0;0;0;0;"Carga";2023-01-08 16:20:00.0000000;2023-01-08 16:20:00.0000000;2023-01-10 05:28:00.0000000;2023-01-10 05:28:00.0000000;"BRSUA";"SUAPE";"DOHAI";"RIO HAINA"
"542023";"BRPEC";"PECEM";9619438;"";"MSC ALBANY";0;28;1;29;0;0;0;0;"Carga e Descarga";2023-01-08 21:12:00.0000000;2023-01-08 21:12:00.0000000;2023-01-09 03:45:00.0000000;2023-01-09 03:45:00.0000000;"BRRIO";"RIO DE JANEIRO";"ESLPA";"LAS PALMAS"
"552023";"BRFOR";"FORTALEZA (MUCURIPE)";9861160;"";"FRANZ SCHULTE";0;21;0;21;0;0;0;0;"Descarga";2023-01-08 15:00:00.0000000;2023-01-08 15:00:00.0000000;2023-01-10 03:26:00.0000000;2023-01-10 03:26:00.0000000;"BRSSA";"SALVADOR";"BRPEC";"PECEM"
"562023";"BRVIX";"VITÓRIA";9351799;"";"LOG-IN PANTANAL (REB)";1;17;1;19;0;0;0;0;"Carga e Descarga";2023-01-08 14:15:00.0000000;2023-01-08 14:15:00.0000000;2023-01-09 12:30:00.0000000;2023-01-09 12:30:00.0000000;"BRRIO";"RIO DE JANEIRO";"BRSSZ";"SANTOS"
"572023";"BRRIO";"RIO DE JANEIRO";9327669;"";"LOG-IN RESILIENTE (REB)";0;18;0;18;2;0;0;2;"Carga e Descarga";2023-01-06 08:45:00.0000000;2023-01-06 08:45:00.0000000;2023-01-06 21:10:00.0000000;2023-01-06 21:10:00.0000000;"BRVIX";"VITÓRIA";"BRVIX";"VITÓRIA"
"582023";"BRRJ022";"PORTO DO AÇU";9435478;"";"AKER WAYFARER (REB)";80;13;77;170;0;0;0;0;"Off-shore";2023-01-04 16:12:00.0000000;2023-01-04 16:12:00.0000000;2023-01-05 04:30:00.0000000;2023-01-05 04:30:00.0000000;"BRRJ022";"PORTO DO AÇU";"BR400";"PORTO DO AÇU"
"592023";"BRARE";"AREIA BRANCA (TERMISA)";;"1820051781";"DONA ZITA";0;0;1;1;0;0;0;0;"Solicitação de certificado";2023-01-02 19:55:00.0000000;2023-01-02 19:55:00.0000000;2023-01-02 23:50:00.0000000;2023-01-02 23:50:00.0000000;"BRARE";"AREIA BRANCA (TERMISA)";"BRARE";"AREIA BRANCA (TERMISA)"
"602023";"BRARE";"AREIA BRANCA (TERMISA)";;"1820051749";"N. S. DAS VITÓRIAS";0;0;1;1;0;0;0;0;"Solicitação de certificado";2023-01-03 01:20:00.0000000;2023-01-03 01:20:00.0000000;2023-01-03 03:40:00.0000000;2023-01-03 03:40:00.0000000;"BRARE";"AREIA BRANCA (TERMISA)";"BRARE";"AREIA BRANCA (TERMISA)"
"612023";"BRRIO";"RIO DE JANEIRO";9383338;"";"BOW GUARDIAN";0;18;0;18;0;0;0;0;"Carga e Descarga";2023-01-23 08:15:00.0000000;2023-01-23 08:15:00.0000000;2023-01-26 07:10:00.0000000;2023-01-26 07:10:00.0000000;"UYMVD";"MONTEVIDEU";"BRARB";"ARATU"
"622023";"BRRIO";"RIO DE JANEIRO";9690432;"4430483248";"BRAM BUCCANEER";0;15;0;15;0;0;0;0;"Off-shore";2023-01-17 17:30:00.0000000;2023-01-17 17:30:00.0000000;2023-01-19 04:10:00.0000000;2023-01-19 04:10:00.0000000;"BRRIO";"RIO DE JANEIRO";"BRRIO";"RIO DE JANEIRO"
"632023";"BRIGI";"ITAGUAÍ";9939345;"";"BHANUMATI ";0;20;0;20;0;0;0;0;"Carga";2023-01-20 08:30:00.0000000;2023-01-22 14:15:00.0000000;2023-01-24 05:42:00.0000000;2023-01-24 05:42:00.0000000;"BRIGI";"ITAGUAI ( EX SEPETIBA)";"BRIGI";"ITAGUAI ( EX SEPETIBA)"
"642023";"BRITJ";"ITAJAI";9210141;"";"MSC ARMONIA";24;701;16;741;1321;887;1244;3452;"Desembarque/Embarque de Passageiros";2023-01-07 06:36:00.0000000;2023-01-07 08:01:00.0000000;2023-01-07 18:00:00.0000000;2023-01-07 18:00:00.0000000;"BRSSO";"SÃO SEBASTIAO";"UYPDP";"PUNTA DEL ESTE"
"652023";"BRRIO";"RIO DE JANEIRO";9668740;"4430483345";"STARNAV URSUS";15;3;0;18;0;0;1;1;"Off-shore";2023-01-19 16:54:00.0000000;2023-01-19 16:54:00.0000000;2023-01-20 20:05:00.0000000;2023-01-20 20:05:00.0000000;"BRRIO";"RIO DE JANEIRO";"BRRIO";"RIO DE JANEIRO"
"662023";"BRSSA";"SALVADOR";9745378;"";"MSC SEAVIEW";0;1453;0;1453;0;4863;0;4863;"Desembarque/Embarque de Passageiros";2023-01-06 07:30:00.0000000;2023-01-06 07:30:00.0000000;2023-01-06 16:05:00.0000000;2023-01-06 16:05:00.0000000;"BRIOS";"ILHEUS";"BRRIO";"RIO DE JANEIRO"
"672023";"BRVIX014";"TPS - TERMINAL PRIVATIVO E DE USO MISTO PRAIA MOLE";9852743;"";"AL WATHBA";7;13;8;28;0;0;0;0;"Carga";2023-01-05 13:00:00.0000000;2023-01-05 13:00:00.0000000;2023-01-10 13:00:00.0000000;2023-01-10 13:00:00.0000000;"BRSSZ";"SANTOS";"USMOB";"MOBILE"
"682023";"BRSUA";"SUAPE";9468815;"";"Bolero";1;23;2;26;0;0;0;0;"Carga";2023-01-10 00:01:00.0000000;2023-01-10 07:42:00.0000000;2023-01-11 03:20:00.0000000;2023-01-11 03:20:00.0000000;"BRMAO002";"TERMINAL DA PETROBRAS - TEMAN - MANAUS - AM";"BRFOR";"FORTALEZA (MUCURIPE)"
"692023";"BRPNG";"PARANAGUA";9581239;"";"MARAN ASTRONOMER";0;20;2;22;0;0;0;0;"Carga";2023-02-06 02:05:00.0000000;2023-02-06 02:05:00.0000000;2023-02-12 17:35:00.0000000;2023-02-12 17:35:00.0000000;"NLAMS";"AMSTERDAM";"PLGDY";"GDYNIA"
"702023";"BRARB006";"TERMINAL AQUAVIÁRIO DE MADRE DE DEUS - TRANSPETRO - BA";9598268;"";"EAGLE PARANA";1;26;0;27;0;0;0;0;"Carga e Descarga";2023-01-05 14:55:00.0000000;2023-01-05 14:55:00.0000000;2023-01-06 22:10:00.0000000;2023-01-06 22:10:00.0000000;"BRSAS";"BACIA PETROLIFERA DE SANTOS";"BRADR003";"TERMINAL TRANSPETRO - ANGRA DOS REIS - RJ"
"712023";"BRIGI";"ITAGUAÍ";9882451;"";"GOLDEN EARL";0;18;0;18;0;0;0;0;"Carga";2023-01-15 07:50:00.0000000;2023-01-15 18:50:00.0000000;2023-01-29 10:33:00.0000000;;"AEFJR";"FUJAIRAH (AL FUJAYRAH)";"CNZHE";"ZHENJIANG (ZHANJIANG ; TSAM KONG ; CHAN CHIANG))"
"722023";"BRRJ022";"PORTO DO AÇU";9796858;"3813902251";"C MACEIÓ";0;11;0;11;0;0;0;0;"Off-shore";2023-01-02 12:00:00.0000000;2023-01-02 12:00:00.0000000;2023-01-03 22:00:00.0000000;2023-01-03 22:00:00.0000000;"BRRJ022";"PORTO DO AÇU";"BRRJ022";"PORTO DO AÇU"
"732023";"BRSSA";"SALVADOR";9618317;"";"MSC ATHOS";0;31;0;31;0;0;0;0;"Carga e Descarga";2023-01-18 14:00:00.0000000;2023-01-18 14:00:00.0000000;2023-01-18 19:22:00.0000000;2023-01-18 19:22:00.0000000;"BRSUA";"SUAPE";"BRRIO";"RIO DE JANEIRO"
"742023";"BRSSO002";"TERMINAL TRANSPETRO - GEBAST - SÃO SEBASTIÃO - SP";9907225;"";"ORIENT M";1;24;2;27;0;0;0;0;"Descarga";2023-01-12 10:30:00.0000000;2023-01-12 10:30:00.0000000;2023-01-14 00:00:00.0000000;2023-01-14 00:00:00.0000000;"USCRP";"CORPUS CHRISTI";"BRCAM";"BACIA PETROLÍFERA DE CAMPOS"
"752023";"BRRJ022";"PORTO DO AÇU";9339131;"3810516546";"SKANDI BOTAFOGO";17;14;17;48;0;0;0;0;"Off-shore";2023-01-03 08:00:00.0000000;2023-01-03 08:00:00.0000000;2023-01-05 13:00:00.0000000;2023-01-05 13:00:00.0000000;"BRMEA001";"TERMINAL PETROBRÁS - MACAÉ - RJ";"BRRJ022";"PORTO DO AÇU"
"762023";"BRRS013";"CMPC - GUAIBA - RS";;"4620818755";"JUAN RASSMUSS";0;7;0;7;0;0;0;0;"Carga e Descarga";2023-01-05 07:00:00.0000000;2023-01-05 07:00:00.0000000;2023-01-06 13:06:00.0000000;2023-01-06 13:06:00.0000000;"BRPET";"PELOTAS";"BRPET";"PELOTAS"
"772023";"BRRIO";"RIO DE JANEIRO";9672636;"2412231516";"HOS BRASS RING";0;17;0;17;0;0;0;0;"Off-shore";2023-01-03 18:30:00.0000000;2023-01-03 18:30:00.0000000;2023-01-21 00:20:00.0000000;2023-01-21 00:20:00.0000000;"BRRIO";"RIO DE JANEIRO";"BRCAM";"BACIA PETROLÍFERA DE CAMPOS"
